Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.1595407,23.027027027027028,0.9272628,-4.069889042112562,-4.069889042112562,1.0
2000,2.163927,22.75,0.8861131,-4.204373815480401,-4.204373815480401,1.0
3000,2.1628695,25.11111111111111,0.8238414,-4.334352571230668,-4.334352571230668,1.0
4000,2.162916,25.205882352941178,1.0710855,-4.457768946886063,-4.457768946886063,1.0
5000,2.1626377,26.28125,0.7862903,-3.8462559692561626,-3.8462559692561626,1.0
6000,2.1608524,46.088235294117645,0.9849146,-4.485510098934173,-4.485510098934173,1.0
7000,2.1617742,24.91176470588235,0.87552637,-4.506074640899897,-4.506074640899897,1.0
8000,2.1609921,20.25,0.7821622,-3.9701040481266223,-3.9701040481266223,1.0
9000,2.1612601,32.38235294117647,0.98100895,-4.121040226782069,-4.121040226782069,1.0
10000,2.1600952,24.774193548387096,0.9410831,-4.331631954639189,-4.331631954639189,1.0
11000,2.1434934,26.529411764705884,0.66807115,-4.27746200912139,-4.27746200912139,1.0
12000,2.137421,28.92105263157895,0.79841185,-4.251700749522762,-4.251700749522762,1.0
13000,2.1348536,23.91891891891892,0.59344524,-4.167813220539609,-4.167813220539609,1.0
14000,2.1289115,22.594594594594593,0.67392457,-4.041568330816321,-4.041568330816321,1.0
15000,2.1300755,25.735294117647058,0.7329559,-4.07848881312779,-4.07848881312779,1.0
16000,2.1276062,30.892857142857142,0.79378116,-3.7596262163586087,-3.7596262163586087,1.0
17000,2.1248248,27.516129032258064,0.85532045,-3.9616666936105296,-3.9616666936105296,1.0
18000,2.1221628,22.594594594594593,0.91341674,-4.170810270953822,-4.170810270953822,1.0
19000,2.119864,32.696969696969695,0.8921074,-4.255440433820088,-4.255440433820088,1.0
20000,2.1168847,30.838709677419356,1.1721699,-4.206440798938274,-4.206440798938274,1.0
21000,2.1148345,24.333333333333332,0.045489013,-4.5361290188396675,-4.5361290188396675,1.0
22000,2.1114802,28.257142857142856,-0.13646802,-4.120682985442025,-4.120682985442025,1.0
23000,2.1244063,46.175,-0.30254984,-209.14852381795646,-209.14852381795646,1.0
24000,2.1516361,22.444444444444443,0.089452654,-4.259863028655181,-4.259863028655181,1.0
