Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.142489,27.870967741935484,-7.0039973,-3.7170730709068236,-3.7170730709068236,1.0
2000,2.1402829,35.06666666666667,-6.9568024,-3.0901670530438423,-3.0901670530438423,1.0
3000,2.14037,31.866666666666667,-6.8438644,-2.8783170253999772,-2.8783170253999772,1.0
4000,2.1463313,28.64516129032258,-6.902096,-3.7961569994688036,-3.7961569994688036,1.0
5000,2.145897,27.517241379310345,-6.956681,-3.308528419198661,-3.308528419198661,1.0
6000,2.1440966,26.03448275862069,-6.9402885,-4.171826366720529,-4.171826366720529,1.0
7000,2.1481168,31.12,-6.7788653,-4.114196469783783,-4.114196469783783,1.0
8000,2.1440434,27.357142857142858,-6.990528,-3.344824741626608,-3.344824741626608,1.0
9000,2.1437314,55.45454545454545,-7.081152,0.4454601779580116,0.4454601779580116,1.0
10000,2.1482275,39.76923076923077,-6.8271785,-2.946262152149127,-2.946262152149127,1.0
11000,2.1486757,26.942857142857143,-6.2875824,-3.4782589483592243,-3.4782589483592243,1.0
12000,2.147806,25.14814814814815,-6.5837984,-3.797819190300428,-3.797819190300428,1.0
13000,2.1468687,27.966666666666665,-6.462925,-3.106977194547653,-3.106977194547653,1.0
14000,2.1441703,26.958333333333332,-6.855886,-3.8337357888619104,-3.8337357888619104,1.0
15000,2.14691,42.0,-6.408653,-1.9005251242355867,-1.9005251242355867,1.0
16000,2.1513276,66.92592592592592,-6.3614287,0.6360739491603993,0.6360739491603993,1.0
17000,2.155484,27.61764705882353,-6.251452,-3.7535598482404438,-3.7535598482404438,1.0
18000,2.1544337,29.205882352941178,-6.27774,-3.7538965001250757,-3.7538965001250757,1.0
19000,2.157599,26.28125,-6.3009872,-3.5510783828794956,-3.5510783828794956,1.0
20000,2.1625414,40.869565217391305,-6.14589,-3.577790872504314,-3.577790872504314,1.0
21000,2.1603563,38.43478260869565,-6.162018,-2.4104845252904026,-2.4104845252904026,1.0
22000,2.1609128,48.65,-5.830179,-2.58455357948939,-2.58455357948939,1.0
23000,2.1566763,47.375,-5.784264,-2.738721084780991,-2.738721084780991,1.0
24000,2.1586149,40.31818181818182,-5.834436,-3.1307969834994185,-3.1307969834994185,1.0
25000,2.1583085,48.958333333333336,-6.0016627,-2.7792351845165957,-2.7792351845165957,1.0
26000,2.1566248,33.0,-5.869804,-3.5436100880304973,-3.5436100880304973,1.0
27000,2.1592348,28.785714285714285,-5.7577777,-3.3900565869574035,-3.3900565869574035,1.0
28000,2.159558,38.88,-5.768894,-3.7142914875789925,-3.7142914875789925,1.0
