Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.028502,23.232558139534884,-4.82313,-4.467705185820416,-4.467705185820416,1.0
2000,2.0423372,23.62162162162162,-4.680666,-4.171231780733381,-4.171231780733381,1.0
3000,2.0437632,22.733333333333334,-4.1832256,-3.7292359586684936,-3.7292359586684936,1.0
4000,2.0322351,33.083333333333336,-4.4185896,-4.456894002026981,-4.456894002026981,1.0
5000,2.0318177,22.727272727272727,-4.5729346,-4.32469072486415,-4.32469072486415,1.0
6000,2.0224788,21.583333333333332,-4.625476,-4.211662129351967,-4.211662129351967,1.0
7000,2.0286803,21.0,-4.4559875,-3.8442155670475318,-3.8442155670475318,1.0
8000,2.0212035,27.394736842105264,-4.658347,-4.120125770568848,-4.120125770568848,1.0
9000,2.0191002,23.428571428571427,-4.6490874,-4.219728612899781,-4.219728612899781,1.0
10000,2.0235138,22.25,-4.5437,-4.216718435287476,-4.216718435287476,1.0
11000,2.014458,24.294117647058822,-4.2652583,-4.231276154518127,-4.231276154518127,1.0
12000,2.000228,21.027027027027028,-4.2308846,-4.155067181587219,-4.155067181587219,1.0
13000,2.0012982,25.90625,-4.047234,-4.262828494422138,-4.262828494422138,1.0
14000,1.9984239,23.083333333333332,-4.1670327,-3.9440544876787396,-3.9440544876787396,1.0
15000,1.9990611,21.5625,-4.1125746,-3.6508715498831963,-3.6508715498831963,1.0
16000,1.98914,21.97222222222222,-4.2383113,-4.0297114474432805,-4.0297114474432805,1.0
17000,1.99512,23.178571428571427,-4.230158,-4.316778310707638,-4.316778310707638,1.0
18000,1.9920316,25.333333333333332,-4.2385283,-4.1704067550599575,-4.1704067550599575,1.0
19000,2.0080369,50.68571428571428,-4.2601814,-3.238533077033935,-3.238533077033935,1.0
20000,2.014944,21.153846153846153,-4.159972,-4.197019281058476,-4.197019281058476,1.0
21000,2.003126,61.64102564102564,-4.076173,-3.113125171416845,-3.113125171416845,1.0
22000,1.9763378,27.57894736842105,-3.8923583,-4.051182599628673,-4.051182599628673,1.0
23000,1.9850031,22.724137931034484,-3.98994,-3.932305157184601,-3.932305157184601,1.0
24000,1.9848665,29.35483870967742,-3.8242686,-4.510921262204647,-4.510921262204647,1.0
25000,1.9609532,30.91891891891892,-4.0656137,-3.8709886832670732,-3.8709886832670732,1.0
26000,1.9589337,22.394736842105264,-4.140711,-4.526014584302902,-4.526014584302902,1.0
27000,1.9786296,23.8,-4.020124,-4.358563255619359,-4.358563255619359,1.0
28000,1.9811693,23.7027027027027,-3.9677086,-4.051413655281067,-4.051413655281067,1.0
29000,1.9875634,50.68421052631579,-4.0036836,-6.759366309172229,-6.759366309172229,1.0
30000,1.9986043,23.585365853658537,-3.91829,-3.762911021709442,-3.762911021709442,1.0
31000,2.0077374,23.27027027027027,-3.9144578,-3.8764949978851693,-3.8764949978851693,1.0
32000,1.9773457,27.666666666666668,-3.550523,-4.158847145132117,-4.158847145132117,1.0
33000,1.9614218,24.585365853658537,-3.7693715,-4.299620296273913,-4.299620296273913,1.0
34000,1.9730467,24.61764705882353,-3.72261,-4.398954432351249,-4.398954432351249,1.0
35000,1.9706454,24.65714285714286,-3.6409378,-4.168905942780631,-4.168905942780631,1.0
36000,1.9549334,22.38888888888889,-3.6677783,-4.121344418185098,-4.121344418185098,1.0
37000,1.9327464,30.823529411764707,-3.6083815,-3.788688333648624,-3.788688333648624,1.0
38000,1.9378624,24.3125,-3.7066646,-4.202427521348,-4.202427521348,1.0
39000,1.9070567,21.70967741935484,-3.80883,-4.028355018297831,-4.028355018297831,1.0
40000,1.9076923,23.419354838709676,-4.0728555,-3.7080544422973287,-3.7080544422973287,1.0
41000,1.9083412,31.51851851851852,-3.931808,-4.152264087288468,-4.152264087288468,1.0
42000,1.8682984,22.689655172413794,-4.764605,-4.247472121797759,-4.247472121797759,1.0
43000,1.8473728,28.333333333333332,-3.3221111,-3.658027100151983,-3.658027100151983,1.0
44000,1.8341994,20.419354838709676,-4.9458203,-4.194711771878329,-4.194711771878329,1.0
45000,1.8276161,20.82857142857143,-5.0471497,-4.110593148640224,-4.110593148640224,1.0
46000,1.7952856,20.571428571428573,-5.873278,-4.239942107881818,-4.239942107881818,1.0
47000,1.7858788,32.81818181818182,-6.0434566,-3.220361964269118,-3.220361964269118,1.0
48000,1.7666098,57.166666666666664,-6.5231323,-5.2318178961674375,-5.2318178961674375,1.0
49000,1.7314487,23.875,-7.0607347,-4.1342918769173,-4.1342918769173,1.0
50000,1.7274868,19.857142857142858,-8.037945,-3.8693618991158227,-3.8693618991158227,1.0
51000,1.7064146,42.8,-8.099521,-3.9319280028019263,-3.9319280028019263,1.0
52000,1.6708025,75.12,-7.202743,-350.08203415751456,-350.08203415751456,1.0
53000,1.5980611,25.884615384615383,-5.3006725,-4.006170811653138,-4.006170811653138,1.0
54000,1.5646559,22.966666666666665,-5.372464,-4.124629701337507,-4.124629701337507,1.0
55000,1.5617256,51.3125,-5.770925,-2.7992233662836012,-2.7992233662836012,1.0
56000,1.5587691,20.448275862068964,-6.281496,-4.2292768032320085,-4.2292768032320085,1.0
57000,1.5725513,59.666666666666664,-7.0902557,-2.8245794861404985,-2.8245794861404985,1.0
58000,1.5934879,31.583333333333332,-8.044123,-4.3244398181205215,-4.3244398181205215,1.0
59000,1.5552566,22.862068965517242,-8.043929,-4.214535290195096,-4.214535290195096,1.0
60000,1.5525768,24.517241379310345,-7.6096025,-4.380264444351196,-4.380264444351196,1.0
61000,1.564127,26.423076923076923,-8.91265,-4.116714942044225,-4.116714942044225,1.0
62000,1.6147184,117.57142857142857,-10.740308,-395.6042619157921,-395.6042619157921,1.0
63000,1.583858,25.586206896551722,-6.1314907,-4.128358082047531,-4.128358082047531,1.0
64000,1.605323,32.55172413793103,-6.5513935,-3.8732686979430064,-3.8732686979430064,1.0
65000,1.5517296,58.58620689655172,-7.0883884,-4.004656583336847,-4.004656583336847,1.0
66000,1.5907193,25.103448275862068,-7.029365,-4.556464672088623,-4.556464672088623,1.0
67000,1.6388696,26.545454545454547,-8.130838,-4.260130828077143,-4.260130828077143,1.0
68000,1.615304,26.40625,-7.6725364,-3.7789568037822328,-3.7789568037822328,1.0
69000,1.6008437,25.357142857142858,-7.7834234,-4.031235018084126,-4.031235018084126,1.0
70000,1.5885307,20.454545454545453,-7.831971,-4.156035977251389,-4.156035977251389,1.0
71000,1.598999,52.45161290322581,-8.190995,-307.12501552797136,-307.12501552797136,1.0
72000,1.6050873,27.612903225806452,-2.3724005,-4.430957585573196,-4.430957585573196,1.0
73000,1.6208512,25.583333333333332,-2.0832582,-4.559331102371216,-4.559331102371216,1.0
74000,1.5923929,57.81481481481482,-2.5074303,-4.829576852145018,-4.829576852145018,1.0
75000,1.5879208,25.59375,-4.197513,-4.091749296468847,-4.091749296468847,1.0
76000,1.5807785,20.444444444444443,-3.2398148,-3.8845758073859744,-3.8845758073859744,1.0
77000,1.6030461,20.4,-4.779773,-4.021178070704142,-4.021178070704142,1.0
78000,1.5800134,59.125,1.7008477,194.06914148407597,194.06914148407597,1.0
79000,1.6339321,25.0,-5.2827516,-4.16018172899882,-4.16018172899882,1.0
80000,1.648466,25.03448275862069,-5.5819974,-4.376524386734798,-4.376524386734798,1.0
81000,1.6309276,51.84375,-5.942423,-3.9322373643517494,-3.9322373643517494,1.0
82000,1.6497394,27.942857142857143,-6.168217,187.35930210351944,187.35930210351944,1.0
83000,1.6827754,28.96875,-8.589186,-4.188214316087611,-4.188214316087611,1.0
84000,1.7065595,22.194444444444443,-8.758818,-4.255097679401699,-4.255097679401699,1.0
85000,1.718621,21.92105263157895,-9.274768,-3.8603630576814925,-3.8603630576814925,1.0
86000,1.709364,26.93103448275862,-10.2210455,-3.923566245263623,-3.923566245263623,1.0
87000,1.7585901,49.13157894736842,-9.954401,-243.76832342147827,-243.76832342147827,1.0
88000,1.8562042,55.83870967741935,-2.9022567,-2.5882145224079007,-2.5882145224079007,1.0
89000,1.8953797,22.4375,-2.8553748,-4.052628778642224,-4.052628778642224,1.0
