Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.0267851,24.575,8.509967,-4.231382106479845,-4.231382106479845,1.0
2000,2.0336604,24.25,8.816739,-4.17595648765564,-4.17595648765564,1.0
3000,2.048324,25.736842105263158,8.114687,-3.5542234230685876,-3.5542234230685876,1.0
4000,2.0391748,21.6046511627907,8.365634,-4.113413873043927,-4.113413873043927,1.0
5000,2.0435948,24.45,8.299131,-3.488131049275398,-3.488131049275398,1.0
6000,2.037481,22.61904761904762,8.47931,-4.479467431704204,-4.479467431704204,1.0
7000,2.0362985,21.4390243902439,8.192406,-4.173379375821068,-4.173379375821068,1.0
8000,2.0027742,26.375,8.8026285,-3.498757839202881,-3.498757839202881,1.0
9000,1.9983814,22.03125,8.611314,-4.473353642405885,-4.473353642405885,1.0
10000,1.9865856,27.838709677419356,8.874589,-3.2881047975632454,-3.2881047975632454,1.0
11000,1.960816,23.46875,9.366322,-3.794185057282448,-3.794185057282448,1.0
12000,1.9605322,23.916666666666668,8.8785095,-3.8548290659399593,-3.8548290659399593,1.0
13000,1.9524734,22.82857142857143,9.519451,-4.520193135037141,-4.520193135037141,1.0
14000,1.9414968,21.0,8.819709,-4.1835106030488625,-4.1835106030488625,1.0
15000,1.9344356,21.285714285714285,10.563084,-4.378538356107824,-4.378538356107824,1.0
16000,1.9306962,21.789473684210527,9.025396,-3.8498025912987557,-3.8498025912987557,1.0
17000,1.9176581,22.032258064516128,9.664763,-4.418550357222557,-4.418550357222557,1.0
18000,1.9665744,86.96774193548387,11.872138,210.66928171340763,210.66928171340763,1.0
19000,2.035464,27.513513513513512,7.7178106,-3.6863287244524274,-3.6863287244524274,1.0
20000,2.0192025,27.6,7.8674827,-3.6682427568095073,-3.6682427568095073,1.0
21000,2.0302868,22.21212121212121,7.6360755,-4.350201608613133,-4.350201608613133,1.0
22000,2.0507562,27.70967741935484,7.3115487,-3.5608854964375496,-3.5608854964375496,1.0
23000,2.0531583,21.35135135135135,7.0644093,-4.099969960547782,-4.099969960547782,1.0
24000,2.0515745,23.636363636363637,7.1006937,-3.8846568500294403,-3.8846568500294403,1.0
25000,2.0429444,22.6875,7.2740607,-4.219294248088714,-4.219294248088714,1.0
26000,2.030956,23.970588235294116,7.0401087,-4.000949047505856,-4.000949047505856,1.0
27000,2.0276377,22.5,7.307878,-3.830535454750061,-3.830535454750061,1.0
28000,2.0229414,56.09375,6.9350567,-1.5081255628216652,-1.5081255628216652,1.0
29000,2.0115926,23.785714285714285,6.8758135,-3.7451165709002265,-3.7451165709002265,1.0
30000,1.9977179,30.03125,6.998073,-3.1832857464750606,-3.1832857464750606,1.0
31000,1.9914901,48.67567567567568,6.883548,-4.485883064759084,-4.485883064759084,1.0
32000,1.9668454,26.17241379310345,5.472624,-3.764988516058241,-3.764988516058241,1.0
33000,1.9517399,22.7027027027027,5.769717,-4.413406107876752,-4.413406107876752,1.0
34000,1.937315,25.466666666666665,6.035887,-4.072019471724828,-4.072019471724828,1.0
35000,1.9403988,23.62857142857143,4.9932647,-4.098021998124964,-4.098021998124964,1.0
36000,2.0295122,51.08571428571429,5.6726155,-263.8411276759328,-263.8411276759328,1.0
37000,2.042829,23.37837837837838,6.3969083,-4.04167638387945,-4.04167638387945,1.0
38000,2.0338023,21.70731707317073,6.3844867,-3.7003864805872846,-3.7003864805872846,1.0
39000,2.0450497,23.305555555555557,6.3858795,-3.708086517122057,-3.708086517122057,1.0
40000,2.0384758,21.5609756097561,6.292646,-4.216217983059767,-4.216217983059767,1.0
41000,2.0313592,23.972972972972972,6.499818,-4.0727061158732365,-4.0727061158732365,1.0
42000,2.0225072,49.28947368421053,5.6624465,-1.9480875247233622,-1.9480875247233622,1.0
43000,2.0247798,24.7,5.4860244,-4.028451777421511,-4.028451777421511,1.0
44000,2.030123,22.55,5.2658105,-3.985171616077423,-3.985171616077423,1.0
45000,2.0241423,26.11111111111111,5.561615,-3.793345696217305,-3.793345696217305,1.0
46000,2.0218492,24.071428571428573,5.4639316,-3.4038287145750865,-3.4038287145750865,1.0
47000,2.0234597,24.804878048780488,5.3733544,-3.912636989355087,-3.912636989355087,1.0
48000,2.027763,24.526315789473685,5.4034715,-3.889006843692378,-3.889006843692378,1.0
49000,2.0116754,23.5,5.63221,-4.254901397518996,-4.254901397518996,1.0
50000,2.021572,22.878048780487806,5.5562096,-4.132625754390444,-4.132625754390444,1.0
51000,2.0378563,23.357142857142858,5.2423325,-4.109743612568553,-4.109743612568553,1.0
52000,2.0416534,23.72222222222222,5.0010195,-4.160189656834853,-4.160189656834853,1.0
53000,2.050105,26.121951219512194,4.9349675,-3.9523396828235726,-3.9523396828235726,1.0
54000,2.0428004,22.307692307692307,5.106604,-3.9757645070552825,-3.9757645070552825,1.0
55000,2.0379162,23.975,5.0545444,-4.0285741746425625,-4.0285741746425625,1.0
56000,2.041334,22.128205128205128,4.981846,-4.466238260269165,-4.466238260269165,1.0
57000,2.033066,21.794871794871796,5.1777015,-4.242259358104906,-4.242259358104906,1.0
58000,2.0392537,22.85,4.936641,-3.8144980683922767,-3.8144980683922767,1.0
59000,2.0353036,23.65714285714286,5.1812725,-3.816793557759878,-3.816793557759878,1.0
60000,2.0258534,33.76923076923077,5.0027165,-3.2700216281108365,-3.2700216281108365,1.0
61000,2.0236292,22.365853658536587,5.200605,-3.8942606265728292,-3.8942606265728292,1.0
62000,2.01037,22.666666666666668,4.936066,-3.9566741466522215,-3.9566741466522215,1.0
63000,1.9877483,21.358974358974358,4.782656,-3.87322142185309,-3.87322142185309,1.0
64000,1.9873701,21.88095238095238,4.855809,-4.283944647486617,-4.283944647486617,1.0
65000,1.9953897,23.060606060606062,4.983748,-4.307758374647661,-4.307758374647661,1.0
66000,1.9925839,26.07894736842105,4.805648,-3.471266096508181,-3.471266096508181,1.0
67000,1.9938948,23.61111111111111,4.78846,-3.884777169478567,-3.884777169478567,1.0
68000,1.9891269,22.92105263157895,4.9396653,-3.8867734976716943,-3.8867734976716943,1.0
69000,1.990966,26.257142857142856,4.875917,-3.8590951528814106,-3.8590951528814106,1.0
70000,1.9897355,23.685714285714287,4.9709263,-3.735714957994573,-3.735714957994573,1.0
71000,2.000538,46.61538461538461,4.744744,-1.5489115476608277,-1.5489115476608277,1.0
72000,1.9942214,23.70731707317073,4.5410385,-3.7547486901283262,-3.7547486901283262,1.0
73000,2.008259,23.13888888888889,3.9564471,-4.008242684441644,-4.008242684441644,1.0
74000,1.9936701,26.08823529411765,3.7797902,-4.438514357104021,-4.438514357104021,1.0
75000,1.9885708,23.944444444444443,3.189895,-3.921848736490522,-3.921848736490522,1.0
76000,1.9724628,22.384615384615383,3.5590866,-4.058950024843216,-4.058950024843216,1.0
77000,1.9646844,24.205882352941178,2.713165,-4.293507971082415,-4.293507971082415,1.0
78000,1.9425552,28.586206896551722,3.1712031,-3.630933206814986,-3.630933206814986,1.0
79000,1.9448296,25.133333333333333,3.246971,-3.4033342003822327,-3.4033342003822327,1.0
80000,1.9278909,23.903225806451612,1.507785,-3.5799624919891357,-3.5799624919891357,1.0
81000,1.9241564,22.058823529411764,2.779229,-4.225894757679531,-4.225894757679531,1.0
82000,1.9770442,53.86666666666667,0.85949033,-295.9336579307433,-295.9336579307433,1.0
83000,2.0193117,23.37837837837838,3.3231459,-4.069863670012531,-4.069863670012531,1.0
84000,2.0116541,21.545454545454547,3.093648,-4.053809028683287,-4.053809028683287,1.0
85000,2.0097365,24.09090909090909,3.2250483,-3.535483230863299,-3.535483230863299,1.0
86000,2.0131218,23.82857142857143,3.272192,-3.6398427963256834,-3.6398427963256834,1.0
87000,2.0206418,26.285714285714285,3.2646728,-3.2495472961001926,-3.2495472961001926,1.0
88000,2.0076175,48.44736842105263,3.1370807,-4.518988654208489,-4.518988654208489,1.0
89000,2.0053167,23.394736842105264,3.2556746,-4.013254212008582,-4.013254212008582,1.0
90000,1.997984,49.28947368421053,3.3659797,-4.134663771938634,-4.134663771938634,1.0
91000,1.9915681,24.88888888888889,3.29058,-4.273958522157791,-4.273958522157791,1.0
92000,2.000567,23.073170731707318,3.2588794,-4.082078765078289,-4.082078765078289,1.0
93000,2.0094903,23.071428571428573,2.995416,-3.9865161123729886,-3.9865161123729886,1.0
94000,1.9968278,24.878048780487806,2.8854332,-4.014144325256348,-4.014144325256348,1.0
